ID do Cliente,Tipo de Cliente,Data da Venda,ID do Carro Vendido,Marca do Carro,Ano de Fabricação do Carro,Quilometragem do Carro no Momento da Venda,Tipo de Combustível,Tipo de Transmissão,Preço de Venda (R$),Forma de Pagamento,Status do Pagamento,Histórico de Aluguel (se aplicável),ID do Contrato de Aluguel Anterior (se aplicável),Desconto para Ex-cliente de Aluguel (%),Cancelamento da Venda,Motivo do Cancelamento (se aplicável),Coerente
67593,b2c,13/05/2023,516713,voLKSWAGEn,2022,37656,HÍbridO,aUTOmÁTIcA,135375.0,TRanSfeRênCIA BanCáRIa,comPLETO,NÃo,,0,NÃo,,True
88684,B2b,03 de March de 2022,562471,cHEvRoLET,2013,214637,gaSoLIna,AuTomÁtICa,72948.61,FiNaNCIAmeNTo,EM AndamenTo,nãO,,0,Não,,True
60203,b2c,13/02/2023,367386,voLkSWaGEN,2016,134394,HÍBRiDO,AutoMáTIcA,89561.76,FInAncIAmEnto,em ANdAMEntO,nÃO,,0,siM,FiNaNciAMEnTO NEgadO,True
40452,B2C,03 de August de 2023,126368,chEVrolet,2013,194853,híBrIDo,aUTOMÁticA,76788.01,TransFErência bANcÁRIa,cOmpLEto,NÃo,,0,Não,,True
83528,b2c,21/04/2022,988253,TOYoTA,2018,116024,eLÉtRiCo,AUtoMáTica,99237.41,finANcIameNto,Em AndAMeNtO,NÃO,,0,NÃO,,True
82476,b2C,13/02/2024,900135,HYundAi,2010,211611,dIEsEl,MaNuaL,65836.12,finAnCIaMeNTo,eM AndAMENto,nÃO,,0,sIM,CliENTe dESiStiU,True
68769,B2b,22/02/2022,270022,cHevRolet,2015,152494,gasOlinA,manuaL,80829.49,TRaNSFERência BaNcárIA,CoMPleTo,sim,13360.0,10,SIm,finAnciAmENtO nEGAdO,True
16863,b2b,18/05/2022,177878,fOrd,2019,85232,HÍBrIdo,mANuAL,110263.78,finaNciamENTO,eM AndAMeNTO,NãO,,0,SIm,PROblEma nA DoCUMeNtaÇãO,True
6433,B2C,2023-10-04,126088,HONda,2012,235298,GAsolInA,AUToMÁTicA,72948.61,finANciAMenTO,em anDamEnTO,nÃO,,0,SIM,fINaNCIAmENTO NeGAdO,True
99760,B2b,2022-06-02,947259,hyuNdAi,2012,197486,GASOlINa,AutOMátIca,69301.18,CARtÃO de CrÉDiTO,cOMpleTo,naO,,0,nÃo,,True
78810,b2c,19 de March de 2022,490264,hyuNdaI,2010,238584,HÍBRIdo,AutomÁTica,65836.12,fInAnCiAmEnTo,em aNdaMEnTo,sIm,52631.0,10,SiM,clienTE desiStiU,True
67764,B2b,2022-05-24,383014,FORD,2021,56928,eLéTRiCO,MANuAL,122175.94,caRtão De cRéDiTo,cOmpLeTo,nÃo,,0,Sim,FinAnCiamENTo nEGADO,True
17324,b2C,04 de October de 2023,391026,HYunDaI,2017,126743,híBRIDO,autOmáTICA,94275.53,tRaNSferêNCIA baNcÁRia,CoMPleTO,NÃO,,0,sim,fINanCIAMeNto NeGAdO,True
57448,B2b,17/01/2022,460757,CHevRoleT,2017,117828,ELétrIco,auTOMÁtIcA,89561.76,trANSFeRÊNCia bAncárIA,COmPlETO,SIm,72134.0,5,SIm,fInanCIaMeNTO NeGAdO,True
46157,B2B,2023-06-17,737013,foRD,2016,132957,GAsoliNa,aUTOMátICA,85083.67,fInanciAmENtO,eM AnDaMENto,nao,,0,SIm,pROBlema nA DoCUMENTaçãO,True
63909,B2B,2024-06-04,889844,VolkSWAgEN,2017,135289,eLétRico,auTOmÁTICA,89561.76,trANSfeRêNciA BaNcáRiA,cOmPLetO,N,,0,Não,,True
3014,B2c,23/01/2024,971502,VoLkswaGeN,2014,151730,gaSolina,MAnuaL,80829.49,tranSFErêNcIa bANCáRIa,COMPLETo,Sim,66714.0,5,sim,fInaNCIAMeNTO NEgADO,True
39465,b2B,2024-04-12,409929,HONDa,2014,183416,hÍbRIdO,maNuAl,76788.01,tRansFerêNCIA BancáRIA,cOmPlEto,SIM,45717.0,10,NãO,,True
85018,B2b,2023-09-18,337262,HoNda,2022,32523,DiESel,AuTOMátiCA,128606.25,fINaNciAmeNtO,em aNdAmeNto,sIM,13948.0,5,SIM,FiNanciAMenTo NeGAdo,True
81365,B2b,2023-12-12,439708,hoNDA,2012,195580,hÍBrido,AutomáTica,69301.18,traNSFErênCIA bAnCÁrIA,cOmplETO,nãO,,0,NãO,,True
52262,b2C,13/06/2024,362097,volksWAGEn,2010,224668,DiEsel,manUAL,65836.12,FinancIAMENto,eM andAMentO,N,,0,siM,PrObleMA Na DocuMEntaÇÃo,True
59711,b2B,2023-08-20,828136,hoNdA,2010,212739,elÉTRiCO,automátICA,62544.32,FInAnCiAMEnTO,EM ANDaMEnto,NÃo,,0,NaO,,True
3558,B2c,2022-03-01,495072,NISsAn,2014,197771,gaSoLina,AuTomátIcA,80829.49,financIAMentO,Em ANdaMeNtO,sIm,16627.0,15,N,,True
27455,b2C,18/06/2023,698594,VolkSwAGeN,2014,187587,DIESel,aUTOmÁTICa,80829.49,FinanciamENtO,eM AndAmENto,NÃo,,0,siM,pROblema Na docUMENtaÇãO,True
47758,b2c,18 de April de 2022,793723,HyuNDaI,2020,77939,gaSolINa,auTOMÁtICa,122175.94,TrANSFerÊNciA bAncÁRIA,ComplETo,Sim,1034.0,5,sIM,fiNaNcIAMeNTo neGaDO,True
94974,B2b,15 de June de 2023,715945,tOYOTa,2016,155722,eléTRico,maNual,85083.67,cArtãO DE cRÉDitO,ComplETO,SIM,17523.0,10,N,,True
36320,b2c,19/09/2023,968877,ChEVroLEt,2012,201052,GASoLina,autOMÁticA,72948.61,TRAnsFerêNCIA bANCÁriA,coMPleTo,SIM,63689.0,5,NÃO,,True
25315,b2B,2022-05-08,144692,NisSAn,2016,146056,gaSOlINA,manUAL,85083.67,CaRTão DE cRÉDito,CoMpLetO,Não,,0,nãO,,True
15329,b2B,17/04/2024,815606,TOyotA,2010,270972,ElÉtricO,AUtOmÁtICa,62544.32,cArTÃO dE créDITO,comPlEtO,NÃO,,0,sim,fINaNCiAMeNto NegaDo,True
24744,b2C,2022-08-22,780524,vOlKswaGEn,2010,213084,diEsel,AutomáTIcA,65836.12,finaNcIAmenTo,em andAMeNTo,nÃo,,0,SIm,fInancIameNtO NegaDO,True
35305,B2C,2023-01-31,803010,nIssAn,2016,146878,dIeSel,mANUal,89561.76,cArTÃO dE CrédiTo,ComPletO,sIM,28551.0,10,nÃO,,True
73198,b2C,06 de October de 2022,139196,CHeVroLET,2013,189560,DieSEL,AUtOmÁTica,76788.01,carTÃO dE créDiTo,coMpLeTo,sIm,52221.0,10,Sim,cliEnTe deSIsTiu,True
55512,b2b,2023-09-10,619891,hoNdA,2019,91354,DieSeL,MAnuAL,110263.78,tRANsfeRêNCIA baNcÁriA,compLeTo,sIm,39574.0,5,nãO,,True
42390,b2b,17/11/2022,501144,hYuNdAI,2021,55699,DIeSEl,autOMática,122175.94,TRAnSfErÊncia bAnCÁrIa,ComPleTo,SIM,28000.0,10,SIm,PRoBLEMa na dOCUmEnTAÇÃo,True
39629,b2B,2022-09-07,360682,hYuNdAI,2021,59045,DIesEL,MANUAl,122175.94,CARtÃo DE cRÉDITo,cOmplEto,nÃo,,0,NÃO,,True
79165,B2c,09/10/2023,154891,ChevROLet,2010,272254,hÍBriDO,AutoMáTIcA,65836.12,tranSFerÊnCia bAnCária,COmpleTo,NÃO,,0,siM,ClienTe DeSisTIU,True
20100,b2b,26 de December de 2022,383144,voLKSWaGEN,2016,126908,HÍbRiDo,AUtomátICa,85083.67,cARTaO de cReDItO,coMpLeTO,Sim,57688.0,15,sim,CLIeNte deSIstiU,True
12489,B2b,04 de June de 2022,746339,hyUnDai,2014,195749,ELétRICo,autOmÁtiCa,76788.01,cARtão DE CRÉdiTO,COMpleto,NÃo,,0,Sim,clIEnTE DeSiStiU,True
65370,b2C,05 de October de 2023,965808,VOLkswageN,2019,96851,gASolina,MaNUal,116067.14,cARtao dE CRÉdItO,COmpletO,Sim,12133.0,15,sIm,CLiEnte desIsTiU,True
288,b2c,23 de May de 2024,847215,hyunDAi,2019,79897,HíBrIDO,AutOMÁTiCa,116067.14,FinAnCiAMeNto,Em aNDAMentO,nãO,,0,SIM,fInAncIameNTO nEGAdO,True
40739,B2B,30/07/2023,932994,voLkswAGeN,2018,110613,HÍBrIDo,manuaL,94275.53,finaNciaMentO,Em anDAmeNtO,nãO,,0,NãO,,True
62603,B2b,19/11/2022,359395,ForD,2021,46915,dIEsel,aUTOMÁticA,122175.94,TraNSfErênCiA baNcária,COMpLeTo,NÃO,,0,sIm,pRObleMA nA DocUmEntAÇãO,True
8047,b2C,15/07/2022,156963,hyuNDAi,2014,168326,diEsel,AUTOMÁtiCA,80829.49,FinAncIaMentO,Em aNdaMenTO,nÃo,,0,sIM,fInanciAmenTo NegAdO,True
45291,b2C,2024-02-16,634930,HyUndaI,2017,108475,dIeSEL,auTOmÁtICA,94275.53,tRaNsFErÊNCia bancÁRIA,cOMpLeTO,NÃO,,0,sim,pRoBlEMA na dOcumEnTAçãO,True
83301,B2c,18/04/2023,230425,vOlKsWAgeN,2020,63285,híBRido,maNuAl,122175.94,fiNANCiaMeNTo,EM AnDAmenTo,naO,,0,N,,True
74479,b2b,11 de September de 2024,915681,CheVRolet,2016,128639,dIEseL,maNUAL,85083.67,TransferêNCIA BAncÁRia,comPleTo,sIm,17958.0,10,NÃO,,True
67952,b2B,2022-02-19,835295,HOnDA,2019,98547,diESeL,AuTOmÁTIca,110263.78,tRAnSFeRÊNciA BaNCáRIA,COmpLeto,SiM,71602.0,10,nÃO,,True
41481,b2B,2024-04-17,573222,HYUndai,2010,279638,eLétRico,mAnUaL,62544.32,CaRtÃO de CrÉdiTo,CoMpLETO,SIM,76581.0,10,SiM,CLieNTe dEsiStiu,True
49104,b2b,2024-07-26,253109,ToYOTa,2022,34799,HÍbriDo,AutomÁtIcA,128606.25,FinANcIAMEnto,eM aNdamenTo,NãO,,0,Sim,fINAnCiameNTO NegadO,True
38720,b2C,26 de August de 2024,475979,hYunDaI,2010,239409,GASOlinA,ManUAl,65836.12,tRANSFerêncIa BanCáRIA,CoMpLEto,Não,,0,Não,,True
13759,B2C,16 de January de 2022,525060,chEvRoLEt,2020,73764,GasolINA,manUAL,122175.94,cARTÃO De crÉDiTo,COmpLetO,sIm,53540.0,10,SIM,cLiENTE dEsIstIU,True
72677,b2B,2024-05-04,395281,voLkswaGEn,2012,209341,GASoLINa,manUal,69301.18,fInaNciAMeNTO,EM ANdAMENto,nÃO,,0,SIM,fiNANCIaMenTo nEGado,True
62972,b2C,07 de October de 2023,298584,NIsSAN,2011,209099,elétriCo,aUTOMÁtiCa,69301.18,CArTãO DE CRédIto,cOmpLEto,naO,,0,nãO,,True
31060,b2b,22 de January de 2022,186881,toYoTa,2015,172548,gASOlina,MAnuAL,80829.49,TRaNsFerÊnCIa BancÁRIa,CoMPLetO,sIm,32710.0,5,sim,pRobleMa NA docUmEnTAÇao,True
33175,b2C,30/03/2024,757158,ToYOTA,2021,46164,DIeSEL,mAnuAL,128606.25,FInAnCIaMEnTo,em aNDameNto,N,,0,SIm,CLiEnte dESIsTiu,True
